번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
274.0,3급,늦잠,명사,늦잠을 자다
275.0,3급,-님,접사,선생님
276.0,3급,다리미,명사,다리미로 옷을 다리다
277.0,3급,다림질,명사,바지를 다림질하다
278.0,3급,다방,명사,다방 커피
279.0,3급,다운로드,명사,다운로드를 받다
280.0,3급,다정,명사,다정한 연인
281.0,3급,다지다02,동사,마늘을 다지다
282.0,3급,다행,명사,다행으로 생각하다
283.0,3급,다행히,부사,다행히 찾다
284.0,3급,단단하다,형용사,뼈가 단단하다
285.0,3급,단맛,명사,단맛을 느끼다
286.0,3급,단발머리,명사,단발머리로 자르다
287.0,3급,단위,명사,화폐 단위
288.0,3급,단점,명사,단점을 극복하다
289.0,3급,단정하다01,형용사,옷차림이 단정하다
290.0,3급,단지03,명사,단지를 조성하다
291.0,3급,단체,명사,단체에 가입하다
292.0,3급,닫히다,동사,창문이 닫히다
293.0,3급,달다02,동사,단추를 달다
294.0,3급,달다04,동사,달라고 하다
295.0,3급,달라지다,동사,장소가 달라지다
296.0,3급,달러02/달러01,의존명사/명사,일 달러
297.0,3급,달콤하다,형용사,케이크가 달콤하다
298.0,3급,담그다,동사,발을 담그다
299.0,3급,담기다01,동사,그릇에 담기다
300.0,3급,담다,동사,쌀을 담다
301.0,3급,닷새,명사,닷새가 걸리다
302.0,3급,당근,명사,당근 주스
303.0,3급,당신,대명사,
304.0,3급,당연하다,형용사,당연한 결과
305.0,3급,당연히,부사,당연히 다르다
